min_1_avg_rss12,max_1_avg_rss12,mean_1_avg_rss12,median_1_avg_rss12,sd_1_avg_rss12,fstQ_1_avg_rss12,trdQ_1_avg_rss12,min_2_var_rss12,max_2_var_rss12,mean_2_var_rss12,median_2_var_rss12,sd_2_var_rss12,fstQ_2_var_rss12,trdQ_2_var_rss12,min_3_avg_rss13,max_3_avg_rss13,mean_3_avg_rss13,median_3_avg_rss13,sd_3_avg_rss13,fstQ_3_avg_rss13,trdQ_3_avg_rss13,min_4_var_rss13,max_4_var_rss13,mean_4_var_rss13,median_4_var_rss13,sd_4_var_rss13,fstQ_4_var_rss13,trdQ_4_var_rss13,min_5_avg_rss23,max_5_avg_rss23,mean_5_avg_rss23,median_5_avg_rss23,sd_5_avg_rss23,fstQ_5_avg_rss23,trdQ_5_avg_rss23,min_6_var_rss23,max_6_var_rss23,mean_6_var_rss23,median_6_var_rss23,sd_6_var_rss23,fstQ_6_var_rss23,trdQ_6_var_rss23
19.0,45.5,30.944237995824636,29.0,7.691003016467127,26.75,38.0,0.0,6.4,0.4681419624217119,0.43,0.7349010782869151,0.0,0.5,0.0,32.75,14.620292275574112,15.75,7.617687186632967,9.75,20.75,0.0,11.42,0.7791649269311065,0.47,1.014537702055882,0.0,1.12,1.67,36.0,18.391461377870563,17.5,5.851790588361173,15.0,21.0,0.0,6.73,1.1079331941544885,0.83,1.0818973085846093,0.47,1.3
21.0,50.0,32.603089770354906,33.0,6.23367988513482,26.25,34.5,0.0,9.9,0.5161586638830897,0.43,0.7907825846033906,0.0,0.83,0.0,28.25,13.938371607515657,14.25,5.888984918294079,10.0,18.0,0.0,7.4,0.8688935281837161,0.5,1.0280864476638927,0.43,1.12,5.0,33.75,20.333903966597077,19.5,5.031028825712649,17.67,23.5,0.0,13.61,1.1587473903966596,0.83,1.3324161276831354,0.47,1.3
35.5,48.0,46.22749478079332,46.0,1.7492439453097526,45.25,48.0,0.0,4.5,0.3130062630480167,0.0,0.46480677359605665,0.0,0.5,0.0,21.0,15.023402922755741,15.5,4.314122995968346,11.75,18.5,0.0,5.12,0.5980375782881002,0.47,0.6798673192665429,0.0,0.83,2.5,21.0,13.401106471816284,13.5,2.930528003594817,12.0,15.25,0.0,6.0,0.8818789144050104,0.83,0.6689439453676275,0.47,1.12
34.5,47.75,44.47108559498956,45.0,1.7744060444694731,45.0,45.25,0.0,2.18,0.28926931106471815,0.0,0.3924289884830447,0.0,0.5,5.0,21.33,17.962526096033404,18.5,2.497663780140793,18.0,19.33,0.0,4.44,0.555866388308977,0.43,0.66373265439021,0.0,0.71,1.0,19.67,13.211565762004176,13.0,2.614918867065624,12.0,15.0,0.0,4.32,0.9231315240083507,0.83,0.751485701005597,0.47,1.22
30.0,46.67,42.65091858037578,42.75,2.397265612743646,41.5,45.0,0.0,2.95,0.4026304801670146,0.43,0.41412731653338364,0.0,0.5,3.0,21.25,18.123987473903966,18.5,2.851029720725832,18.0,19.75,0.0,7.5,0.4679749478079332,0.43,0.6879314328294938,0.0,0.5,1.0,20.75,12.055678496868476,12.25,3.1432467139548073,10.5,14.25,0.0,4.64,0.9182881002087683,0.83,0.7100842607820568,0.47,1.12
36.0,47.5,43.71734864300626,45.0,2.3858774395254336,43.0,45.0,0.0,1.92,0.36747390396659707,0.43,0.37413119279495377,0.0,0.5,6.67,21.0,17.00768267223382,17.75,2.7144607051885883,15.5,18.75,0.0,6.02,0.544572025052192,0.43,0.7444993365080679,0.0,0.71,1.0,20.25,13.205991649269311,13.75,3.2882199734920987,11.33,15.67,0.0,6.18,1.040814196242171,0.83,0.9172828969862484,0.47,1.22
36.0,45.8,42.415574112734866,42.67,2.52096556894983,41.33,44.67,0.0,2.12,0.46048016701461375,0.47,0.3878057292016786,0.0,0.52,6.33,24.0,16.32329853862213,16.75,2.4685952963270568,15.0,18.0,0.0,5.59,0.7499791231732776,0.5,0.6683269246591328,0.43,1.09,2.0,22.0,10.06945720250522,9.75,3.7257772935531417,7.5,12.0,0.0,6.65,1.2279331941544884,1.09,0.8921757217836599,0.5,1.6
37.0,48.25,42.511774530271396,42.5,2.19510400038085,41.0,44.5,0.0,2.12,0.44160751565762,0.47,0.34921328861826095,0.0,0.5,1.0,21.75,13.210313152400834,13.5,4.736704549094489,9.67,17.5,0.0,5.61,0.8007098121085595,0.5,0.868510433888859,0.43,1.02,1.0,21.0,14.642129436325678,15.0,3.6269695350686075,12.5,17.5,0.0,6.85,0.9776409185803758,0.83,0.8541574848153589,0.47,1.22
36.0,47.33,42.66972860125261,43.67,2.3842860148618104,40.0,44.75,0.0,2.17,0.42004175365344465,0.47,0.36826859162187714,0.0,0.5,0.0,21.0,12.109895615866389,12.67,3.5603937346263423,11.5,14.33,0.0,5.56,0.5668684759916492,0.43,0.7189818794074659,0.0,0.82,0.0,19.67,14.246931106471816,14.5,3.265006419905173,12.75,16.5,0.0,3.77,0.7024634655532359,0.5,0.5679687309271325,0.43,0.94
36.25,45.5,42.95770354906054,42.67,1.5020111161720917,42.0,44.33,0.0,2.6,0.35187891440501046,0.47,0.31315211115659364,0.0,0.5,0.0,22.0,11.774237995824635,12.0,3.0218482307770467,11.0,13.33,0.0,4.72,0.5644676409185804,0.47,0.6388169623596403,0.0,0.83,0.0,20.25,14.947473903966596,15.25,2.705242486530265,14.0,16.75,0.0,4.0,0.7483089770354906,0.82,0.46161878680732893,0.43,0.98
36.0,47.33,44.44732776617954,45.0,2.4165749040370277,44.67,45.75,0.0,4.5,0.3455114822546973,0.43,0.3576856386287701,0.0,0.5,3.0,21.0,13.342922755741128,13.5,2.9435887740290556,12.0,15.5,0.0,5.54,0.6442171189979123,0.47,0.7183288972633395,0.0,0.83,1.0,21.0,12.616471816283925,12.75,3.416313416317894,11.0,14.67,0.0,5.91,1.1515240083507308,0.94,0.8393454655949848,0.5,1.5
36.25,45.75,43.195219206680584,44.75,2.4880440268337227,39.75,45.0,0.0,2.83,0.2707933194154489,0.0,0.3289844222464028,0.0,0.5,0.0,22.75,12.7358872651357,12.75,3.8601496377417788,10.67,15.25,0.0,3.74,0.6440501043841336,0.47,0.6773424299117661,0.0,0.87,2.0,24.0,18.201858037578287,18.25,3.5697545848004864,16.5,21.0,0.0,3.83,0.6468058455114822,0.5,0.5672428600036961,0.43,0.83
29.75,48.0,46.929979123173275,47.5,1.8339296924140953,47.2,47.75,0.0,4.6,0.4305636743215031,0.5,0.36712426443863555,0.43,0.5,6.5,21.0,16.86893528183716,18.0,2.5791365835727467,16.33,18.25,0.0,6.52,0.5286847599164927,0.43,0.6985419234561597,0.0,0.71,2.67,21.25,13.286638830897704,13.67,3.1363593505812672,11.67,15.5,0.0,6.58,0.9906471816283925,0.83,0.85615920020496,0.47,1.22
36.33,47.67,45.3978496868476,45.5,1.3289393048982554,45.0,46.33,0.0,1.66,0.4602087682672234,0.5,0.2701672313469343,0.43,0.5,1.5,21.25,17.670187891440502,18.0,1.7474255319548107,17.33,18.33,0.0,4.11,0.4413361169102296,0.43,0.4786656507408026,0.0,0.5,1.0,19.75,12.423695198329854,13.0,3.375949815054055,11.25,14.5,0.0,4.5,0.795866388308977,0.82,0.503255126845562,0.47,1.0
27.5,50.75,38.90066805845512,36.75,3.6367297560383274,36.25,42.0,0.0,6.06,0.38423799582463464,0.43,0.48913358818308716,0.0,0.5,1.5,23.25,14.860647181628392,15.0,3.9284575686880756,12.0,18.0,0.0,6.02,0.6547390396659708,0.47,0.7089631511925473,0.0,0.87,0.0,23.75,16.5258872651357,17.75,4.983013488502194,14.0,20.75,0.0,5.17,0.8409812108559499,0.82,0.751229729404255,0.43,1.09
27.0,38.67,32.91152400835073,30.25,3.5073333179330817,30.0,37.0,0.0,2.49,0.45680584551148223,0.0,0.5393452813532902,0.0,1.0,2.5,23.75,16.296638830897702,18.5,5.166276932181944,12.0,21.0,0.0,5.12,0.6652818371607515,0.47,0.7688416230421847,0.0,0.87,2.0,23.5,18.082192066805845,19.25,3.7385811077780353,16.5,20.75,0.0,5.12,0.7919624217118998,0.71,0.7564113071144063,0.43,1.0
42.5,46.0,44.75344467640919,45.0,0.5207309319820125,44.75,45.0,0.0,1.12,0.15423799582463465,0.0,0.2589902215746546,0.0,0.43,3.67,27.25,18.609352818371608,19.25,4.080575811410031,17.0,21.0,0.0,5.17,0.6246555323590814,0.47,0.676210704336052,0.43,0.83,4.33,30.75,19.261983298538624,19.0,4.131270336574785,17.5,21.75,0.0,4.3,0.7647807933194154,0.7,0.6525933973190917,0.43,1.0
25.5,45.75,36.542442588726516,36.5,5.908642142748995,30.0,42.5,0.0,12.19,0.42304801670146136,0.0,0.7735587893744361,0.0,0.82,1.0,24.0,14.916889352818371,15.33,5.444024297766974,11.0,20.33,0.0,5.12,0.7401043841336117,0.49,0.8336765057729589,0.0,0.94,5.5,27.0,17.163089770354905,18.0,2.8515777865381056,15.5,19.0,0.0,6.26,0.8520876826722338,0.83,0.7158245856939738,0.43,1.12
35.25,48.5,40.21555323590814,39.25,2.7428715629542224,37.75,42.5,0.0,3.28,0.6187682672233821,0.5,0.48510097572343436,0.43,1.0,0.0,23.5,14.83839248434238,16.0,4.926339178677647,11.75,18.25,0.0,5.12,0.8740501043841336,0.5,0.9890925459378942,0.0,1.22,0.0,27.33,15.167620041753654,15.25,5.319302555748966,11.67,19.75,0.0,6.36,1.057849686847599,0.83,1.0269945235575826,0.47,1.3
28.5,48.25,43.89868475991649,45.25,3.187795985568097,42.0,46.5,0.0,3.28,0.5167014613778705,0.5,0.3942165269270968,0.43,0.71,0.0,24.25,15.007118997912317,15.0,5.623599151315833,11.25,18.75,0.0,6.98,1.0438830897703548,0.82,1.0950007904441341,0.43,1.48,1.5,25.0,14.916200417536535,15.75,5.26323513728737,10.5,19.25,0.0,7.0,1.3551983298538621,1.09,1.1520697729904248,0.5,1.7
39.67,44.75,42.2843006263048,41.5,1.3570936678218952,41.5,44.33,0.0,1.0,0.49835073068893526,0.5,0.14813906361917867,0.47,0.5,0.0,22.75,9.460083507306889,10.0,5.315288952233134,5.0,14.0,0.0,5.68,0.9015240083507307,0.82,0.836054175680882,0.43,1.25,0.0,23.25,12.533089770354906,12.0,6.045443394064373,8.5,18.25,0.0,7.85,0.8689979123173278,0.82,0.7950428516620321,0.47,1.0
39.5,45.0,42.110772442588726,42.0,1.1232771225901461,41.5,42.0,0.0,1.09,0.34160751565762004,0.47,0.2960254929827801,0.0,0.5,0.0,21.8,11.44874739039666,12.0,4.542176557967957,9.0,14.75,0.0,7.31,0.8843632567849686,0.5,1.0675984671285887,0.43,0.94,1.0,23.0,12.966555323590814,13.25,4.849926845905599,9.0,17.25,0.0,6.36,0.9577453027139875,0.82,0.8805159253677447,0.47,1.22
29.25,46.0,42.73141962421712,43.25,2.0477283232622034,41.33,44.5,0.0,4.72,0.5554488517745303,0.5,0.3829353663000104,0.47,0.5,0.0,24.0,15.851106471816284,16.5,4.8475754871587915,12.5,20.0,0.0,6.12,0.7549269311064718,0.47,0.9056994943951747,0.0,1.0,2.0,24.0,16.424926931106473,17.67,4.284130190653135,13.75,19.0,0.0,5.1,0.8922129436325679,0.71,0.8520600857372612,0.43,1.22
40.0,44.67,42.360939457202505,42.0,1.018301643381113,41.5,43.25,0.0,1.0,0.4835073068893528,0.5,0.2456547383412545,0.43,0.5,2.0,23.5,12.887432150313153,12.75,4.016579015864082,11.33,15.0,0.0,5.93,0.6118371607515658,0.47,0.7266720486677153,0.0,0.83,2.5,26.67,15.253674321503132,13.25,6.471846873365363,9.75,22.0,0.0,4.64,0.7194989561586639,0.5,0.609143853113137,0.43,0.83
42.0,45.0,42.81951882845188,42.5,0.8911180518002803,42.0,43.5,0.0,1.12,0.3348953974895397,0.43,0.26006427511388897,0.0,0.5,0.0,23.0,17.196464435146442,18.0,3.9014426522983445,15.9375,20.0,0.0,5.45,0.5314016736401673,0.43,0.7647125230648466,0.0,0.71,1.0,23.0,16.04297071129707,17.0,4.099081193154289,13.25,19.0,0.0,6.36,0.8550836820083682,0.82,0.765331277051014,0.43,1.09
41.75,46.5,43.19334029227557,42.5,1.230423826980261,42.0,44.5,0.0,1.5,0.2668267223382046,0.43,0.2715983090156398,0.0,0.5,0.0,21.67,14.850187891440502,15.0,4.7294235415907355,12.25,18.4,0.0,4.64,0.5095407098121085,0.47,0.5430671821638904,0.0,0.71,5.67,22.0,16.03438413361169,16.0,3.0242059690679235,14.0,18.33,0.0,5.45,0.8061795407098121,0.82,0.6461500216999801,0.43,1.09
39.0,40.0,39.43365344467641,39.5,0.2087535556874855,39.33,39.5,0.0,1.0,0.42194154488517743,0.47,0.16050713538315176,0.43,0.5,0.0,12.2,5.844300626304801,6.0,3.5008315631124165,3.0,8.75,0.0,3.27,0.39724425887265136,0.43,0.4373932922389547,0.0,0.5,0.0,18.0,10.895156576200417,11.5,3.324711131396496,9.0,12.33,0.0,4.06,0.5839248434237996,0.5,0.4380883283779779,0.43,0.83
0.0,40.67,39.505845511482256,39.5,1.8193831042001731,39.5,39.67,0.0,1.0,0.49653444676409186,0.5,0.1456930284501339,0.47,0.5,0.0,13.25,6.545490605427975,7.0,2.6078625321968647,4.5,8.75,0.0,4.03,0.8246764091858038,0.5,0.7607749364013875,0.43,1.12,0.0,16.25,11.759561586638831,12.0,2.335340104935035,11.33,13.0,0.0,3.19,0.6232359081419624,0.5,0.49936127475470526,0.43,0.87
34.0,51.0,42.69501043841336,40.5,3.5328690247327192,40.25,48.0,0.0,4.85,0.5208977035490605,0.5,0.48400723132386647,0.0,0.83,0.0,23.0,10.913945720250522,12.0,3.2105741358153335,9.0,12.0,0.0,5.72,0.3327557411273486,0.0,0.600129278997332,0.0,0.47,0.0,22.25,4.293653444676409,2.25,4.25222863212918,1.0,8.0,0.0,4.97,0.5495615866388309,0.47,0.6490575851295582,0.0,0.83
39.0,41.0,39.668183716075156,39.5,0.2803454228910341,39.5,39.75,0.0,1.0,0.5837787056367432,0.5,0.1947504601312502,0.5,0.71,0.0,15.0,10.8317745302714,12.0,2.471513093223977,10.25,12.0,0.0,2.49,0.3481628392484342,0.43,0.4092635065326122,0.0,0.5,0.0,14.5,5.791544885177453,5.75,4.093089966571165,1.67,9.33,0.0,3.49,0.6372651356993737,0.5,0.6083390469821848,0.0,0.83
23.5,30.0,27.713695198329855,27.5,1.442564516369729,27.0,29.0,0.0,1.79,0.36444676409185806,0.43,0.39487890308477064,0.0,0.5,0.0,13.25,6.072004175365344,6.25,3.4697032043594684,3.5,8.33,0.0,5.02,0.870375782881002,0.82,0.7781978596096285,0.43,1.3,0.0,21.0,8.336680584551148,8.75,4.078706472622238,5.5,10.75,0.0,4.5,0.7358872651356994,0.71,0.6133797548549641,0.43,1.0
48.0,48.25,48.004175365344466,48.0,0.032071092228324695,48.0,48.0,0.0,0.43,0.0071816283924843426,0.0,0.05516227863271847,0.0,0.0,0.0,13.0,4.897745302713988,5.5,2.568369052900565,3.0,6.25,0.0,2.86,0.39724425887265136,0.43,0.44759179517522873,0.0,0.5,0.0,12.0,7.636638830897703,9.0,3.2617675241862787,4.67,10.0,0.0,2.5,0.6410855949895615,0.5,0.388765440814867,0.43,0.83
39.0,40.0,39.43365344467641,39.5,0.2087535556874855,39.33,39.5,0.0,1.0,0.42194154488517743,0.47,0.16050713538315176,0.43,0.5,0.0,12.2,5.844300626304801,6.0,3.5008315631124165,3.0,8.75,0.0,3.27,0.39724425887265136,0.43,0.4373932922389547,0.0,0.5,0.0,18.0,10.895156576200417,11.5,3.324711131396496,9.0,12.33,0.0,4.06,0.5839248434237996,0.5,0.4380883283779779,0.43,0.83
39.0,41.0,39.668183716075156,39.5,0.2803454228910341,39.5,39.75,0.0,1.0,0.5837787056367432,0.5,0.1947504601312502,0.5,0.71,0.0,15.0,10.8317745302714,12.0,2.471513093223977,10.25,12.0,0.0,2.49,0.3481628392484342,0.43,0.4092635065326122,0.0,0.5,0.0,14.5,5.791544885177453,5.75,4.093089966571165,1.67,9.33,0.0,3.49,0.6372651356993737,0.5,0.6083390469821848,0.0,0.83
23.5,30.0,27.713695198329855,27.5,1.442564516369729,27.0,29.0,0.0,1.79,0.36444676409185806,0.43,0.39487890308477064,0.0,0.5,0.0,13.25,6.072463465553236,6.25,3.4700437980640135,3.5,8.33,0.0,5.02,0.871356993736952,0.82,0.7781778119535951,0.43,1.3,0.0,21.0,8.337098121085594,8.75,4.078764238358161,5.5,10.75,0.0,4.5,0.7347599164926931,0.71,0.6142361780347098,0.43,1.0
39.0,56.25,47.34110647181628,42.67,5.957210376318729,42.0,54.0,0.0,8.49,0.2739039665970772,0.0,0.5632459713403152,0.0,0.47,0.0,18.25,9.539311064718163,10.75,3.9879885222058395,6.0,12.75,0.0,5.72,0.7856576200417537,0.5,0.8124831093830922,0.43,1.0,0.0,21.0,14.295574112734863,14.0,4.14573153906193,11.75,18.0,0.0,5.72,0.765678496868476,0.5,0.7246308459806895,0.43,1.0
39.0,40.0,39.34661795407098,39.33,0.23140159211161188,39.25,39.5,0.0,0.5,0.3661377870563674,0.47,0.19593758562451616,0.43,0.5,0.0,11.33,4.387348643006263,4.5,2.456782232690398,2.5,6.0,0.0,3.54,0.5024425887265136,0.47,0.505092978248688,0.0,0.71,7.0,18.67,16.20926931106472,16.75,2.2246787386230227,15.75,17.67,0.0,3.5,0.588705636743215,0.5,0.42384274511099446,0.43,0.83
39.0,56.25,47.34110647181628,42.67,5.957210376318729,42.0,54.0,0.0,8.49,0.2739039665970772,0.0,0.5632459713403152,0.0,0.47,0.0,18.25,9.539311064718163,10.75,3.9879885222058395,6.0,12.75,0.0,5.72,0.7856576200417537,0.5,0.8124831093830922,0.43,1.0,0.0,21.0,14.295574112734863,14.0,4.14573153906193,11.75,18.0,0.0,5.72,0.765678496868476,0.5,0.7246308459806895,0.43,1.0
26.75,44.75,36.872484342379956,36.33,3.55389342263979,34.5,39.75,0.0,11.68,2.755762004175365,2.18,2.1178968888835024,1.22,4.03,7.0,27.0,16.50883089770355,16.0,3.57863375477884,14.0,19.0,0.0,9.01,3.0151356993736953,2.86,1.7760683426314945,1.5,4.09,8.0,23.0,16.57713987473904,16.75,2.6572302020154206,15.0,18.67,0.0,8.81,2.7756367432150313,2.59,1.5707332328212047,1.64,3.64
